sep=,
"Date","Delivery Date","Document No.","Customer Ref.","Customer","Exclusive","VAT","Total","Sales Rep","Status"
"13/04/2026","21/04/2026","SO4514","PO101119","Jamarmic Pump and Valve Engineering (Pty) Ltd","13298","1994.7","15292.7","Simon Mokgola","Invoiced"
"13/04/2026","13/04/2026","SO4519","PO:EE8669","Elmecair (Pty) Ltd","4406","660.9","5066.9","Mashudu Tshifularo","Invoiced"
"13/04/2026","30/04/2026","SO4520","Cash Sale","Allbro Industries (PTY) Ltd","3070","460.5","3530.5","Sizwe Tshabalala","Invoiced"
"13/04/2026","13/04/2026","SO4521","FM3995","INVESTER Amalgam Pty Ltd","1180","177","1357","Simon Mokgola","Invoiced"
"14/04/2026","30/04/2026","SO4522","FM3996","AYANDA","16608.85","2491.33","19100.18","Simon Mokgola","Invoiced"
"14/04/2026","30/04/2026","SO4523","Warranty Claim","Orion Real Estate (Pty) Ltd","0","0","0","Simon Mokgola","Invoiced"
"15/04/2026","30/04/2026","SO4524","PO:0000437","Compu Cool (Pty) Ltd","40491","6073.65","46564.65","Mashudu Tshifularo","Invoiced"
"15/04/2026","17/04/2026","SO4526","FM3998","The Gray Goat","5896","884.4","6780.4","Simon Mokgola","Invoiced"
"15/04/2026","30/04/2026","SO4528","Cash Sale","Apex Engineering (PTY) Ltd","7632","1144.8","8776.8","Sizwe Tshabalala","Invoiced"
"16/04/2026","17/04/2026","SO4529","PO2251","Hucra Fans","3221","483.15","3704.15","Sales Agent Hucra Fans","Invoiced"
"16/04/2026","17/04/2026","SO4530","PO2252","Hucra Fans","2100","315","2415","Sales Agent Hucra Fans","Invoiced"
"16/04/2026","31/07/2026","SO4554","FMTA4599","Matla Solution Group","72087","10813.05","82900.05","Mashudu Tshifularo","Pending"
